ea,kind,original,demangled,alias
916208,plt_thunk,._Z20getStringTFloatPointRK7TString,getStringTFloatPoint(TString const&),plt_getStringTFloatPoint_TString_const
916224,plt_thunk,._ZN18TResourceFunctions15getFindFileNameERK7TString,TResourceFunctions::getFindFileName(TString const&),plt_TResourceFunctions_getFindFileName_TString_const
916240,plt_thunk,._ZN13TDrawingPanel16setUseOwnProfileEb,TDrawingPanel::setUseOwnProfile(bool),plt_TDrawingPanel_setUseOwnProfile_bool
916256,plt_thunk,._ZN24TPanelOperation_DrawTextC2EP13TDrawingPanelRK6TPointRK7TString,"TPanelOperation_DrawText::TPanelOperation_DrawText(TDrawingPanel *,TPoint const&,TString const&)",plt_TPanelOperation_DrawText_TPanelOperation_DrawText_TDrawingPanel_TPoint_const_TString_const
916272,plt_thunk,._Znwm,operator new(ulong),plt_operator_new_ulong__2
916288,plt_thunk,._ZN12GuiArrayCtrl17scrollCellVisibleERK6TPoint,GuiArrayCtrl::scrollCellVisible(TPoint const&),plt_GuiArrayCtrl_scrollCellVisible_TPoint_const
916320,plt_thunk,._ZN9TGraalVar28setScriptLogMissingFunctionsEb,TGraalVar::setScriptLogMissingFunctions(bool),plt_TGraalVar_setScriptLogMissingFunctions_bool
916336,plt_thunk,._ZN6CyaInt17mp_reduce_is_2k_lEPNS_6mp_intE,CyaInt::mp_reduce_is_2k_l(CyaInt::mp_int *),plt_CyaInt_mp_reduce_is_2k_l_CyaInt_mp_int
916352,plt_thunk,._ZN12TServerLevel10isPullWallEddb,"TServerLevel::isPullWall(double,double,bool)",plt_TServerLevel_isPullWall_double_double_bool
916368,plt_thunk,._ZN6CyaInt10InitSuitesEPNS_6SuitesENS_15ProtocolVersionEhhhhhhi,"CyaInt::InitSuites(CyaInt::Suites *,CyaInt::ProtocolVersion,uchar,uchar,uchar,uchar,uchar,uchar,int)",plt_CyaInt_InitSuites_CyaInt_Suites_CyaInt_ProtocolVersion_uchar_uchar_uchar_uchar_uchar_uchar_int
916384,plt_thunk,._Z28TClient_initStaticScriptVarsv,TClient_initStaticScriptVars(void),plt_TClient_initStaticScriptVars_void
916400,plt_thunk,._ZN9THTMLPage12freeLineTagsEv,THTMLPage::freeLineTags(void),plt_THTMLPage_freeLineTags_void
916416,plt_thunk,._ZN11TStringListD2Ev,TStringList::~TStringList(),plt_TStringList_TStringList
916432,plt_thunk,._ZN12TFontManager13tryCreateFontERK7TStringiS2_b,"TFontManager::tryCreateFont(TString const&,int,TString const&,bool)",plt_TFontManager_tryCreateFont_TString_const_int_TString_const_bool
916448,plt_thunk,._ZN12TScriptSpace10leaveClassEP7TScript,TScriptSpace::leaveClass(TScript *),plt_TScriptSpace_leaveClass_TScript
916464,plt_thunk,._Z16jpeg_huff_decodeP21bitread_working_stateliP13d_derived_tbli,"jpeg_huff_decode(bitread_working_state *,long,int,d_derived_tbl *,int)",plt_jpeg_huff_decode_bitread_working_state_long_int_d_derived_tbl_int
916480,plt_thunk,._ZN6CyaInt9InitMutexEPi,CyaInt::InitMutex(int *),plt_CyaInt_InitMutex_int
916496,plt_thunk,._ZNK9THTMLAtom15getTextInBufferEv,THTMLAtom::getTextInBuffer(void),plt_THTMLAtom_getTextInBuffer_void
916512,plt_thunk,._ZN7TPlayer8getNoHitERK7TString,TPlayer::getNoHit(TString const&),plt_TPlayer_getNoHit_TString_const
916528,plt_thunk,._ZN7TClient14sendEnterLevelEv,TClient::sendEnterLevel(void),plt_TClient_sendEnterLevel_void
916544,plt_thunk,._ZN16TParticleEmitter15removeParticlesEv,TParticleEmitter::removeParticles(void),plt_TParticleEmitter_removeParticles_void
916560,plt_thunk,._ZN14TScriptMachine13findActionNPCEv,TScriptMachine::findActionNPC(void),plt_TScriptMachine_findActionNPC_void
916576,plt_thunk,._ZN14TScriptMachine12arrayReplaceEv,TScriptMachine::arrayReplace(void),plt_TScriptMachine_arrayReplace_void
916592,plt_thunk,._ZN6TFiles23removeEscapesOfFilenameERK7TString,TFiles::removeEscapesOfFilename(TString const&),plt_TFiles_removeEscapesOfFilename_TString_const
916608,plt_thunk,._ZN9THashList9getObjectEjRK7TString,"THashList::getObject(uint,TString const&)",plt_THashList_getObject_uint_TString_const
